question,document
"For a simple automation like sending a Slack alert when a YouTube upload happens, would Zapier or n8n be a better fit than Kestra?",bfe5502c30
"Why does ChatGPT sometimes invent Kestra YAML fields like bucket or name, and how do I stop trusting the wrong ones?",93a3e8b98c
How can I make sure the Kestra flow YAML I get from an AI matches the real plugin properties for my version?,93a3e8b98c
"In Kestra GCS Upload, what is the correct field instead of bucket/name when I want to send a file to Google Cloud Storage?",93a3e8b98c
"For BigQuery LoadFromGcs in Kestra, what should I use instead of splitting project, dataset, and table into separate properties?",93a3e8b98c
What’s the best way to validate AI-generated Kestra YAML so I don’t run into version-specific plugin mistakes?,93a3e8b98c
Why do we bother tracking token usage in Kestra AI flows?,a4adc70f41
How does checking tokens help with LLM costs in scheduled workflows?,a4adc70f41
What is the point of logging token counts after each AI task?,a4adc70f41
Can token monitoring help catch a workflow that starts spending too much?,a4adc70f41
How do token numbers help you improve prompts and keep output costs down?,a4adc70f41
"Why does Docker Desktop say a host path like /tmp/... is not shared when I start Kestra, and how do I get rid of it?",dd8b4c9fda
Where in Docker Desktop do I add /tmp or /tmp/kestra-wd so the container can mount it?,dd8b4c9fda
I keep seeing the mounts denied error for /tmp/kestra-wd. What setting do I need to change in Docker Desktop?,dd8b4c9fda
What should I do if docker compose up -d fails because Docker can’t access the /tmp folder on my machine?,dd8b4c9fda
Is there a way to fix the Docker mount issue for Kestra without changing my compose file?,dd8b4c9fda
"In the Kestra flow, Gemini keeps giving me a 404 NOT_FOUND because the model is unavailable — what should I change so the workflow runs again?",d51bbe2da0
"If the course YAML uses a Gemini model id that no longer works for my account, do I just swap it for another one, and where exactly do I update it?",d51bbe2da0
"When Gemini returns an unavailable-model error in Docker Compose, should I edit the YAML only or also change the `model-name` setting in `docker-compose.yml`?",d51bbe2da0
"Is a 404 from Gemini always a permanent shutdown of that model, or could it just be a temporary availability issue for my account?",d51bbe2da0
Where can I check which Gemini model ids are currently available before rerunning the Kestra flow?,d51bbe2da0
"For the Module 3 Kestra homework, what exactly am I supposed to upload to the repo if I did everything in the Kestra UI?",f29f622684
"Do I need to submit the actual Kestra flow YAML files, or is a README with my answers enough for Module 3?",f29f622684
"If my homework was mostly built in Kestra, should I also include any scripts the flows call in the public repo?",f29f622684
Where should I place the Kestra homework files in the repo before sending the link for Module 3?,f29f622684
"What goes in the submission form for Module 3—do I paste the repo link only, and enter Q1/Q2 answers somewhere else?",f29f622684
Why do I get `JSONDecodeError: Expecting value` when I try to parse the LLM output as JSON in the ground-truth question generator?,a3c7e1b4f9
How can I make the model return valid JSON instead of putting the answer inside a markdown code block or adding extra text?,a3c7e1b4f9
What is the best way to call the OpenAI API so `json.loads(...)` works without failing on the response content?,a3c7e1b4f9
Do I need to change my prompt if I want exactly one JSON object with a `questions` list of 5 strings?,a3c7e1b4f9
"Is there a similar JSON-only setting for other models or providers, like Gemini or Groq?",a3c7e1b4f9
Why does my Jupyter notebook crash when I try to embed the whole ground-truth set in Module 4?,b8f2d6a30c
Is there a lighter embedding model I can use in the evaluation notebook so it won’t run out of RAM?,b8f2d6a30c
"If I keep getting memory errors while embedding data, can I do that part in a separate Python script and reuse the saved vectors later?",b8f2d6a30c
How can I avoid kernel crashes on Codespaces when the embedding step uses too much memory?,b8f2d6a30c
What’s the best way to handle embedding the ground-truth set in batches and free memory so the notebook doesn’t die?,b8f2d6a30c
Why do I still get rate-limited in a long tqdm run even after adding sleep(4) between Gemini calls?,c1e9f4b820
What’s the easiest workaround if free-tier Gemini keeps failing while I’m generating the ground-truth data?,c1e9f4b820
Can I use another model or API with better request limits for making the evaluation dataset?,c1e9f4b820
How should I change my thread pool if I’m hitting rate limits during the ground-truth generation step?,c1e9f4b820
"If the run gets cut off by quotas, what’s the best way to continue without losing everything?",c1e9f4b820
Why does Module 4 go from lesson 6 to lesson 11 — are some lessons missing?,57c8d3a1e4
What’s the reason the filenames in Module 4 jump from 06-search-tuning.md to 11-evaluation-intro.md?,57c8d3a1e4
"How are the lessons in Module 4 organized, since the numbering doesn’t look continuous?",57c8d3a1e4
"Is Module 4 split into two parts, and if so, what are they about?",57c8d3a1e4
Should I read the Module 4 lesson numbers as 0.1 to 0.6 and 1.1 to 1.5?,57c8d3a1e4
How do I fix the Windows error about fbgemm.dll not being found when importing torch?,15e931476c
Does WinError 126 with torch usually mean I need to install Visual C++ Redistributable?,15e931476c
Should I install Visual Studio or just Visual Studio Code to solve the missing fbgemm.dll issue on Windows?,15e931476c
"What causes the error loading torch\lib\fbgemm.dll on Windows, and what’s the usual fix?",15e931476c
I’m seeing OSError: [WinError 126] in Python with PyTorch on Windows — what should I install to make it work?,15e931476c
"Why am I getting a psycopg2 OperationalError saying it can't translate host name ""postgres"" when I run `python prep.py`, and what's the fix?",4b65d5542d
"In Module 5 monitoring, how do I change the database host if `postgres` is causing a host resolution error?",4b65d5542d
"My `prep.py` script fails with `could not translate host name ""postgres"" to address`; which `.env` setting should I update?",4b65d5542d
What should `POSTGRES_HOST` be set to if the app can't find the `postgres` host during setup?,4b65d5542d
How can I fix the `OperationalError` from psycopg2 when `python prep.py` complains about the `postgres` hostname?,4b65d5542d
How do I make Pandas show the full text in a column instead of cutting it off?,641aedbbf5
Why is my Explanation column in the offline-rag-evaluation notebook getting truncated in Pandas?,641aedbbf5
What option do I set if I want Pandas to display the whole judge LLM explanation?,641aedbbf5
"In Pandas, how can I stop columns from showing ""..."" and see all the content?",641aedbbf5
How do I increase or remove the max column width in Pandas so long text stays visible?,641aedbbf5
How do I normalize a vector that's stored in a Pandas DataFrame column?,5039707c1a
What's a simple way to scale each vector in a Pandas Series to unit length?,5039707c1a
Can I use apply() in Pandas to normalize every row vector in one column?,5039707c1a
How do I divide each array in a DataFrame column by its norm?,5039707c1a
Is there a quick NumPy/Pandas trick to create a normalized version of an existing vector column?,5039707c1a
How do I get the 75th percentile for a column in a Pandas DataFrame?,b4c8ac5a0c
What's the Pandas way to calculate a 0.75 quantile from a Series?,b4c8ac5a0c
How can I find the percentile value of a DataFrame column in Pandas?,b4c8ac5a0c
Is there a simple method to compute a quantile for one column in Pandas?,b4c8ac5a0c
"How do I use Pandas to get the 75% percentile of df[""col""]?",b4c8ac5a0c
"How do I wipe out every Docker container from the terminal, even the ones that are still running?",66ccbb7da0
What command should I use to force-remove all Docker images on my machine?,66ccbb7da0
Is there a quick terminal command to delete all Docker volumes at once?,66ccbb7da0
"How can I completely clean Docker by removing containers, images, and volumes in one go?",66ccbb7da0
"If I want to reset Docker and start fresh, what terminal commands should I run to clear everything?",66ccbb7da0
How can I make sure a user only gives feedback one time per submission in Streamlit?,2e729f1271
Why does my `st.session.submitted` value keep getting set back to True after I click a feedback button?,2e729f1271
"In Streamlit, how do I disable the feedback buttons after the Ask button is used?",2e729f1271
What’s the fix for session state getting reassigned when one of the feedback buttons is pressed?,2e729f1271
Is there a known Streamlit solution for `st.session.submitted` behaving weirdly in a feedback flow?,2e729f1271
"Why does my Streamlit app fail in docker-compose with `exec: ""streamlit"": executable file not found in $PATH`, even though it works locally?",e8df9f0d12
Do I need a Dockerfile before I can run a Streamlit app with docker-compose?,e8df9f0d12
How do I fix the `streamlit` not found error when starting the container?,e8df9f0d12
Should I add Streamlit to my docker-compose setup instead of only installing it locally?,e8df9f0d12
What command should I run after changing the Docker setup so the app gets rebuilt and starts correctly?,e8df9f0d12
"Is the capstone supposed to be done alone, or can it be a team project?",0fab61eca2
Can two people work on the same idea and submit separate capstone projects?,0fab61eca2
"If I collaborate with classmates, does each person still need their own repo and part to evaluate?",0fab61eca2
Would a shared system be allowed if we split it into clearly independent pieces for each student?,0fab61eca2
What happens if the project can't be checked separately for each person?,0fab61eca2
"Do I need to turn in two capstone projects, or is one enough?",d5fc98925d
What do you mean by attempt 1 and attempt 2 for the capstone submission?,d5fc98925d
"If my first project submission gets rejected, can I fix it and send it again later?",d5fc98925d
"Can I submit a second project just for practice, and does it have to be a different topic or dataset?",d5fc98925d
What happens if I miss the first capstone submission deadline but still want to complete the course on time?,d5fc98925d
"Can I use the competition as my capstone project, or are they separate things?",e892d44e42
Is it okay to do the capstone together with other people if we join the competition as a team?,e892d44e42
"If I take part in the math Kaggle LLM competition, does that automatically count toward the capstone?",e892d44e42
"Are teams allowed for the capstone, or is it only individual work even if I join the competition?",e892d44e42
What’s the difference between the competition and the capstone requirement in this course?,e892d44e42
How will my capstone project get graded in the course?,9a2e2d2008
Who reviews the capstone submission after I turn it in?,9a2e2d2008
Do I also have to grade other students' capstone projects?,9a2e2d2008
What happens if I skip the peer review requirement for the capstone?,9a2e2d2008
How is the final score for the project calculated from the reviewers' grades?,9a2e2d2008
When do we get assigned projects to review or grade after the capstone submission deadline?,eae0fb50aa
How many projects will each participant be assigned for grading in the capstone review process?,eae0fb50aa
Will the project assignments for review be shared in some kind of spreadsheet?,eae0fb50aa
What happens with project review assignments once the submission deadline is over?,eae0fb50aa
"For the capstone project, how are the grading assignments distributed among participants?",eae0fb50aa
"I already submitted my capstone project, but why am I still not able to review other projects yet?",a8a7fef016
"After the submission deadline, do I get to pick which projects I evaluate, or are they assigned automatically?",a8a7fef016
Why is the project review list still empty even though I turned in my project?,a8a7fef016
"Can I start reviewing projects before the list is released, or do I need to wait?",a8a7fef016
"Once submissions are closed, how does the evaluation process work for capstone projects?",a8a7fef016
Where can I look for project ideas and datasets for the capstone?,e76a70cde3
Is there a page with some dataset suggestions and example ideas for the project?,e76a70cde3
What’s the best place to find tips and guidelines for choosing a project topic?,e76a70cde3
Can you point me to the GitHub page with possible datasets for the capstone project?,e76a70cde3
How do I get started finding a good dataset or idea for the LLM Zoomcamp project?,e76a70cde3
"Do I really need Airflow, Mage, or Kestra for the capstone project ingestion part, or is a simple Python script enough?",d4f7c08ea1
"If I build the ingestion with a Jupyter notebook instead of a script, do I still get full credit?",d4f7c08ea1
When would it actually make sense to use an orchestrator in the capstone project?,d4f7c08ea1
Can I skip orchestration completely and still satisfy the ingestion pipeline requirement?,d4f7c08ea1
"Should I add an orchestration tool just to get the pipeline criterion, or is that overkill?",d4f7c08ea1
How can I evaluate a recommender-style RAG project when there’s no obvious ground-truth answer to compare against?,9b0e2d6a47
What’s a good way to create test queries for a retrieval system if I only have item descriptions and no labeled Q&A data?,9b0e2d6a47
"How do I measure ranking quality in a recommender-like RAG setup, and why would NDCG be better than just hit rate?",9b0e2d6a47
"Can I use an LLM to judge the output of my RAG pipeline end to end, and how would I set that up?",9b0e2d6a47
"For a project like this, should I evaluate retrieval only or the whole RAG flow, and what metrics make sense?",9b0e2d6a47
"What chunking approach should I start with for a huge PDF corpus, and how do I know if it’s working?",6f2a8b3d10
"Is it better to split long docs by fixed token size first, or should I use an LLM to find sections right away?",6f2a8b3d10
"For legal or financial PDFs, is dense search enough, or do I need BM25 too so exact terms still match?",6f2a8b3d10
"Should I generate a short summary for each chunk before indexing it, and does that help retrieval?",6f2a8b3d10
"What tools do you recommend for turning PDFs into cleaner markdown before chunking, especially for papers or docs with tables?",6f2a8b3d10
What do you mean by reproducibility in the capstone project — do reviewers need my API keys to run it?,e5d8a2c761
How should I set up my repo so someone can clone it and rebuild the project from scratch?,e5d8a2c761
Do I need to include a script or notebook that loads the data and rebuilds the search index?,e5d8a2c761
"What’s the right way to handle secrets in the project, like API keys or hosted service credentials?",e5d8a2c761
Should I pin package versions and mention the Python or Docker version in the README?,e5d8a2c761
"Can I do the homework and capstone in something like JavaScript, Go, Rust, or R instead of Python?",ea815eb858
"Is Python actually required for the course assignments, or just the easiest option?",ea815eb858
"If I build my project with a non-Python stack, what kind of setup instructions do I need to include?",ea815eb858
"Do reviewers expect Python solutions for the homework and final project, or can they handle other languages too?",ea815eb858
What should my README cover if I submit a project in a language other than Python?,ea815eb858
Where do I look to see old LLM Zoomcamp capstone projects and submissions?,930286278d
Is there a page with past project repos from previous LLM Zoomcamp cohorts?,930286278d
Can I check examples of finished capstone projects before starting mine?,930286278d
Do you have links to earlier LLM Zoomcamp project submissions for reference?,930286278d
Where can I find past LLM Zoomcamp projects to get a sense of the expected quality?,930286278d
Do I need to reserve my capstone project idea before I start working on it?,897a350476
"Should I announce my project topic somewhere first, or can I just begin?",897a350476
Is it okay to work on a project idea that someone else already used before?,897a350476
"If I want feedback on my capstone idea, where should I ask for it?",897a350476
"Can two projects have similar themes, as long as my implementation is different and meets the requirements?",897a350476
Can I build my capstone as a Telegram or WhatsApp bot instead of a website?,7318a90b14
"Is a web app required for the final project, or can I use something else like Slack or a CLI?",7318a90b14
Are there any rules about which interface I should use to present my project to users?,7318a90b14
Can I submit a notebook or some other non-web interface for the project demo?,7318a90b14
"Will the course show how to build the app interface, or do I need to handle that myself?",7318a90b14
"What tools can I use to pull text out of PDFs for my RAG app, especially if the files are scanned?",d8b28c47a0
"Is there a recommended library for converting PDF docs into clean Markdown or JSON for RAG, or can I choose whatever fits my data?",d8b28c47a0
What do people usually use when a PDF has no text layer and I need OCR before building the index?,d8b28c47a0
"Between docling, PyMuPDF, unstructured, and Tesseract, which one should I try first for document extraction?",d8b28c47a0
"Do I need to follow one fixed extraction tool in the capstone, or is it okay to test a few options and pick the best result?",d8b28c47a0
"Can I reuse the workshop material in my own capstone project, or is it only for class use?",d850a0e7ea
"Since dlt is open-source, does that mean I’m allowed to use what I learned here in other projects too?",d850a0e7ea
"Is it okay to apply the workshop content in another Zoomcamp project, like the MLOps one?",d850a0e7ea
Can I take the data loading approach from this workshop and use it directly in my own work?,d850a0e7ea
"If I have questions while using the workshop ideas in a project, can I still ask for help?",d850a0e7ea
How do I create a new dlt project for loading data from a cloud source?,6bceeebf04
What command should I run to initialize a dlt filesystem project with DuckDB?,6bceeebf04
I'm starting with dlt and cloud loading — what's the first setup command?,6bceeebf04
Is there a dlt init command for a filesystem source and DuckDB together?,6bceeebf04
Where do I begin if I want to set up a fresh dlt project for cloud data ingestion?,6bceeebf04
"Why do I get `FileNotFoundError: Table notion_pages___homework does not exist` when I run `db.open_table(""notion_pages___homework"")`?",0407213397
"I changed the table name in one place, but `db.open_table(""notion_pages___homework"")` still says it doesn't exist — what am I missing?",0407213397
How can I fix the `notion_pages___homework` table error in the dlt workshop pipeline?,0407213397
"Does this error mean I forgot to create the table, or is there some pipeline setting I need to rename too?",0407213397
"I renamed `employee_handbook` to `homework`, but now opening `notion_pages___homework` fails — what should I check?",0407213397
Why am I getting `FileNotFoundError: Table notion_pages___homework does not exist` when I run `main()`?,e95bfafc0e
"In the dlt workshop, what table name should I pass to `db.open_table()` for the homework data?",e95bfafc0e
My code says the table doesn’t exist and asks me to call `db.create_table(...)` first — what am I missing?,e95bfafc0e
Where exactly should I fix the `notion_pages___homework` table issue in the notebook or script?,e95bfafc0e
How do I open the homework table correctly so `main()` stops failing with the missing table error?,e95bfafc0e
How can I see all the tables that are currently in the database?,e394e6f738
Is there a simple way to list the db tables with dlt?,e394e6f738
What method should I call if I want the table names from the database?,e394e6f738
Where can I check which tables exist in my database right now?,e394e6f738
How do I get a list of all table names in the db?,e394e6f738
"Does dlt already support ClickHouse or StarRocks connectors, or are they missing for now?",cd19f122f3
Are there any built-in connectors in dlt for ClickHouse and StarRocks databases?,cd19f122f3
"If dlt doesn't connect to ClickHouse or StarRocks yet, can the community add support for them?",cd19f122f3
"Is ClickHouse or StarRocks integration planned in dlt, or do we need to build it ourselves?",cd19f122f3
"Can I use dlt with ClickHouse or StarRocks right now, or is that still not available?",cd19f122f3
"Why am I getting a 401 Unauthorized when the notebook calls Notion search, even though the secret is set?",0dfba07ace
What should I check first if my Notion API request fails with a client error about unauthorized access?,0dfba07ace
"Could this Notion auth error be caused by an expired token, and how do I fix it?",0dfba07ace
How do I make sure I'm using the right Notion API URL and permissions in the notebook?,0dfba07ace
"If the notebook still can’t access Notion after I set the secret, what other config or auth steps should I review?",0dfba07ace
How do I get pip to install requests 2.32.3 instead of the older 2.28 version for lancedb?,4b30b918bc
Is there a way to install requests straight from GitHub so the right version is used?,4b30b918bc
"Why am I still getting requests 2.28 when the workshop needs 2.32.3, and how can I force the newer one?",4b30b918bc
What command should I run if I need the latest requests release from the source archive?,4b30b918bc
"Could a 401 Client Error mean my key is wrong or not allowed, and what should I check first?",4b30b918bc
